"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEMODEL";"SPICEPREFIX";
"C1";"100n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C2";"10u";"CC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C3";"100n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C4";"100n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C5";"4.7u";"CC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C7";"10n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C8";"10n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C9";"10n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C10";"10n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C12";"10u";"CC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C13";"100n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C14";"10u";"CC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C15";"100n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C16";"4.7u";"CC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C17";"100n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C20";"10n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"C21";"10n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"D2";"BZX84C 6V2";"BZX84CSMD";"TO236";"Z DIODE";"";"";"";"";"1";"";"";
"J1";"U.FL";"U.FL";"U.FL";"U.FL Antenna Connector";"";"";"";"";"";"";"";
"J2";"U.FL";"U.FL";"U.FL";"U.FL Antenna Connector";"";"";"";"";"";"";"";
"JP1";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"79";"";"";
"JP2";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"79";"";"";
"JP4";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"98";"";"";
"JP5";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"69";"";"";
"JP6";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"79";"";"";
"JP7";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"98";"";"";
"JP9";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"98";"";"";
"JP10";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"69";"";"";
"JP11";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"98";"";"";
"LED_G";"";"LEDSMT1206";"1206";"LED";"";"";"";"";"20";"";"";
"LED_R";"";"LEDSMT1206";"1206";"LED";"";"";"";"";"20";"";"";
"OPH1";"VT93N2";"VT93N2";"VT900";"Photoconductive Cell VT900 Series";"";"";"";"";"0";"";"";
"PROG";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"72";"";"";
"Q1";"SI2305CDS";"SI2305CDS";"SOT23";"P-CHANNEL MOS FET";"";"";"";"";"";"";"";
"Q2";"BSS131";"BSS131";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";
"Q3";"BSS138";"BSS138";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";
"Q4";"SI2305CDS";"SI2305CDS";"SOT23";"P-CHANNEL MOS FET";"";"";"";"";"";"";"";
"Q5";"BSS138";"BSS138";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";
"R1";"100k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R2";"10k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R3";"10k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R4";"10k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R5";"33k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R6";"10k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R12";"33k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R19";"150k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R20";"27k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R22";"10k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R23";"150";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R24";"10k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R25";"100";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R26";"100k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R27";"2.2k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"R28";"10k";"RR1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"RST";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"72";"";"";
"SJ1";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"7";"";"";
"U1";"ESP-WROOM-03";"ESP-WROOM-03";"ESP-WROOM-03";"";"";"";"unknown";"";"";"";"";
"U2";"MIC5239S";"MIC5239S";"SOT223";"LDO REGULATOR";"";"";"";"";"";"";"";
"U3";"WIRELESS-LORA-RFM95W#SMD";"WIRELESS-LORA-RFM95W#SMD";"WIRELESS-LORA-RFM95W#SMD";"868/915 MHz LoRa Radio Transceiver Module based on SX1276 chip";"";"";"";"";"";"";"";
"U4";"WIRELESS-LORA-RFM95W#SMD";"WIRELESS-LORA-RFM95W#SMD";"WIRELESS-LORA-RFM95W#SMD";"868/915 MHz LoRa Radio Transceiver Module based on SX1276 chip";"";"";"";"";"";"";"";
